datetime,open,high,low,close,volume,return
20230417,26.57,27.01,26.43,27.0,234630930,0.008968609865470878
20230418,27.53,28.11,27.36,27.67,463571590,0.024814814814814845
20230419,27.37,28.0,27.23,27.93,271865440,0.00939645825804103
20230420,27.67,28.03,27.0,27.1,310727340,-0.029717150017901872
20230421,26.95,27.18,26.72,27.12,250439190,0.0007380073800737907
20230424,27.01,27.37,26.67,27.04,234010370,-0.002949852507374673
20230425,27.08,27.25,26.23,26.24,273007960,-0.029585798816568087
20230426,26.99,27.33,26.71,26.96,304106800,0.027439024390244038
20230427,27.36,27.5,26.63,27.23,271661550,0.010014836795252169
20230428,27.23,27.76,27.07,27.75,205061160,0.019096584649283876
20230501,27.84,29.06,27.78,28.91,442788990,0.04180180180180182
20230502,28.68,28.84,28.08,28.21,294075710,-0.02421307506053272
20230503,27.84,28.37,27.47,27.8,286455510,-0.014533853243530626
20230504,27.65,27.86,27.24,27.56,231599280,-0.008633093525179936
20230505,27.83,28.76,27.73,28.68,246927990,0.04063860667634267
20230508,28.52,29.22,28.35,29.15,263280490,0.016387726638772637
20230509,28.9,28.97,28.45,28.57,216547570,-0.01989708404802737
20230510,29.01,29.11,28.46,28.89,263778480,0.011200560028001405
20230511,28.91,28.95,28.25,28.58,232357380,-0.010730356524749074
20230512,28.53,28.78,28.05,28.34,195365140,-0.008397480755773179
20230515,28.51,28.97,28.15,28.95,211567350,0.02152434721242069
20230516,28.84,29.87,28.83,29.21,342816880,0.00898100172711569
20230517,29.59,30.2,29.43,30.18,308266090,0.033207805546045854
20230518,30.41,31.83,30.32,31.68,561984250,0.0497017892644136
20230519,31.52,31.58,30.92,31.26,342385970,-0.01325757575757569
20230522,30.91,31.52,30.68,31.18,270739820,-0.002559181062060212
20230523,31.01,31.29,30.63,30.69,251661450,-0.0157152020525978
20230524,30.21,30.61,29.81,30.54,365874680,-0.00488758553274693
20230525,38.54,39.48,36.64,37.98,1019104590,0.24361493123772093
20230526,37.9,39.17,37.55,38.95,503171900,0.02553975776724604
20230530,40.61,41.94,39.95,40.11,641889030,0.029781771501925514
20230531,39.51,40.3,37.82,37.83,564593160,-0.05684367988032912
20230601,38.49,40.05,38.34,39.77,427076270,0.05128205128205132
20230602,40.1,40.5,39.06,39.33,340668390,-0.011063615790797177
20230605,38.9,39.57,38.71,39.17,279144600,-0.004068141367912448
20230606,38.83,39.16,38.15,38.65,281738730,-0.013275465917794271
20230607,38.93,39.5,37.36,37.48,364941650,-0.03027166882276844
20230608,37.72,38.86,37.51,38.51,296883500,0.02748132337246534
20230609,39.05,39.71,38.57,38.77,300193500,0.006751493118670515
20230612,39.2,39.53,38.62,39.48,265912680,0.018313128707763582
20230613,40.17,41.1,39.74,41.02,435364870,0.03900709219858167
20230614,40.81,43.0,40.55,43.0,526088400,0.04826913700633839
20230615,42.6,43.29,42.15,42.65,399232660,-0.008139534883720989
20230616,43.43,43.72,42.66,42.69,415881100,0.0009378663540444698
20230620,43.0,43.99,42.68,43.81,298922880,0.026235652377606167
20230621,43.5,43.62,42.08,43.05,394900200,-0.017347637525679138
20230622,42.25,43.43,42.23,43.02,289931170,-0.0006968641114981633
20230623,42.46,42.81,42.02,42.21,250692010,-0.01882845188284521
20230626,42.46,42.76,40.1,40.63,428744650,-0.03743188817815679
20230627,40.79,41.94,40.45,41.88,321722580,0.030765444253014973
20230628,40.66,41.85,40.52,41.12,412700670,-0.018147086914995336
20230629,41.56,41.6,40.6,40.82,274378660,-0.007295719844357951
20230630,41.67,42.55,41.5,42.3,339540540,0.036256736893679475
20230703,42.51,42.9,42.2,42.41,139073370,0.002600472813238719
20230705,42.13,43.18,42.08,42.32,233032470,-0.0021221410044799383
20230706,41.87,42.18,41.35,42.1,203691420,-0.0051984877126654006
20230707,42.32,43.21,42.18,42.5,249267300,0.009501187648456089
20230710,42.66,42.81,41.65,42.18,242853820,-0.007529411764705896
20230711,42.49,42.76,42.07,42.41,201128020,0.0054528212422948474
20230712,43.04,43.94,42.78,43.9,326057660,0.035133223296392346
20230713,44.51,46.16,44.49,45.98,324623810,0.04738041002277904
20230714,46.58,48.04,45.06,45.47,563140360,-0.011091779034362759
20230717,46.29,46.5,45.26,46.46,374097490,0.02177259731691228
20230718,46.7,47.9,45.73,47.49,410653880,0.022169608265174334
20230719,47.47,47.82,46.74,47.08,304813220,-0.008633396504527324
20230720,46.51,47.09,45.06,45.52,373524480,-0.03313508920985542
20230721,45.87,45.87,44.1,44.31,384838940,-0.026581722319859447
20230724,44.73,45.11,44.04,44.61,261424140,0.00677048070413
20230725,44.94,46.18,44.92,45.68,243777300,0.02398565344093262
20230726,46.04,46.05,44.63,45.45,262045160,-0.005035026269702203
20230727,46.52,47.4,45.75,45.9,333439830,0.00990099009900991
20230728,46.68,47.03,46.38,46.75,229269150,0.0185185185185186
20230731,46.75,47.13,46.51,46.73,173878000,-0.00042780748663107104
20230801,46.46,46.9,46.03,46.51,166299940,-0.004707896426278557
20230802,45.83,45.84,43.39,44.27,380954870,-0.04816168565899792
20230803,43.8,45.12,43.8,44.52,227474800,0.005647165123108255
20230804,44.99,45.64,44.39,44.68,249699510,0.003593890386343057
20230807,45.12,45.54,44.56,45.42,227891850,0.016562220232766434
20230808,44.88,45.24,44.06,44.66,255877380,-0.016732716864817365
20230809,44.27,44.31,42.13,42.55,428868870,-0.047245857590685114
20230810,42.16,43.57,41.84,42.39,359077290,-0.0037602820211515287
20230811,41.77,42.02,40.64,40.86,391512460,-0.03609341825902335
20230814,40.52,43.8,40.31,43.75,498936480,0.07072931962799811
20230815,44.57,45.27,43.71,43.94,501393630,0.004342857142856982
20230816,44.52,44.68,43.41,43.49,370311920,-0.010241238051888812
20230817,43.96,44.06,43.0,43.34,313781780,-0.0034490687514371343
20230818,42.63,43.58,41.66,43.3,445380670,-0.0009229349330873715
20230821,44.5,47.07,44.22,46.97,483803870,0.08475750577367203
20230822,48.14,48.19,45.33,45.67,553496350,-0.02767724079199485
20230823,45.87,47.2,45.21,47.12,432330040,0.031749507335230964
20230824,50.22,50.27,47.16,47.16,800780430,0.000848896434634927
20230825,47.01,47.81,45.02,46.02,692323160,-0.024173027989821794
20230828,46.48,46.98,44.89,46.84,509988930,0.01781833985223824
20230829,46.66,49.08,46.39,48.78,526573240,0.04141759180187865
20230830,49.04,49.93,48.43,49.26,526576660,0.009840098400983877
